id,entity_id,registration_number,name,type,founding_date,background,url,alt_id
805,o-f934ca05ea,,National League for Democracy (NLD),Political party,1988-09-27,"""<p><span style=\""font-size: 15.2px;\"">The National League for Democracy (NLD) is a political party in Myanmar (Burma), currently serving as the governing party. Founded on 27 September 1988, it has become one of the most influential parties in Myanmar's pro-democracy movement. Aung San Suu Kyi, the Special Honorary President of the Socialist International Nobel Peace Prize laureate, and current State Counsellor of Myanmar, serves as its chairperson. The party won a substantial parliamentary majority in the 1990 Burmese general election. However, the ruling military junta refused to recognise the result. On 6 May 2010, the party was declared illegal and ordered to be disbanded by the junta after refusing to register for the elections slated for November 2010. In November 2011, the NLD announced its intention to register as a political party to contend future elections, and Myanmar's Union Election Commission approved their application for registration on 13 December 2011.</span></p><p><span style=\""font-size: 15.2px;\""><br></span></p><p><span style=\""font-size: 15.2px;\"">In the 2012 by-elections, the NLD contested 44 of the 45 available seats, winning 43, with its only loss being in one seat to the SNDP.[11] Party leader Aung San Suu Kyi won the seat of Kawhmu.</span></p><p><span style=\""font-size: 15.2px;\""><br></span></p><p><span style=\""font-size: 15.2px;\"">In the 2015 general election, the NLD won a supermajority in both houses of the Assembly, paving the way for the country's first non-military president in 54 years.</span></p>""",https://sapphire.envisageworldwide.com/organizations/national-league-for-democracy,82dab5e7f44a1374d866e4d0d82a7e5f
3801,o-2bd619e8a3,,ZimbabweElections2023,Local NGO,,"""<p>ZimbabweElections2023.co.zw is the country’s first-ever extensive online platform for independent, fact-checked and real time electoral content &amp; data. This includes visualised statistics, interactive maps with constituencies, battle ground states maps, articles, videos, a Manifesto promise keeper, crowdsourced content and verified electoral related data and much much more. </p><p>Content Creators Network ZW 3 Allan Willson Begravia, Harare ZW Email: info@zimbabweelections2023.co.zw</p><p><strong>Aim </strong><br></p><ul><li>To provide you with all you need to know about the upcoming March By Elections and the 2023 General Elections.</li><li>To demystify key statistics ahead of elections and then to track the elections in real time when they're happening with the use of tech, crowdsourcing and data visualisation.</li></ul><p><strong>Partners </strong></p><ul><li><a href=\""https://sapphire.envisageworldwide.com/organizations/centre-for-innovation-and-technology/\"" title=\""Centre for Innovation and Technology\"">Centre for Innovation and Technology</a><br><a href=\""https://sapphire.envisageworldwide.com/organizations/kubatana/\"" title=\""Kubatana\"">Kubatana</a> </li><li><a href=\""https://sapphire.envisageworldwide.com/organizations/magamba-network/\"" title=\""Magamba Network\"">Magamba Network</a> </li><li><a href=\""https://sapphire.envisageworldwide.com/organizations/election-resource-centre/\"" title=\""Election Resource Centre\"">Election Resource Centre </a> <a href=\""https://sapphire.envisageworldwide.com/organizations/bustop-tv/\"" title=\""Bustop TV\""> </a></li><li><a href=\""https://sapphire.envisageworldwide.com/organizations/bustop-tv/\"" title=\""Bustop TV\"">Bustop TV</a><br> <a href=\""https://sapphire.envisageworldwide.com/organizations/zimfact/\"" title=\""ZimFact\"">ZimFact </a> </li><li><a href=\""https://sapphire.envisageworldwide.com/organizations/content-creators-network-zw/\"" title=\""Content Creators Network ZW\"">Content Creators Network ZW</a> </li><li>TellZim </li><li>NewsHawk </li><li>Zimbabwe Human Rights Monitors Plartform </li></ul>""",https://sapphire.envisageworldwide.com/organizations/zimbabweelections2023,a91984c5d840ae1f243227cf4b501102
3802,o-6485b45622,172150187,United Overseas Bank Limited (Yangon branch),Company,2015-03-06,"""<p>UOB commitment to Myanmar began more than two decades ago when we opened a representative office in Yangon in 1994. In 2013, UOB became the first foreign bank to establish a Foreign Direct Investment Advisory unit in Myanmar to help its clients explore business opportunities in the country. UOB Yangon branch, opened on March 6, 2015, adds to UOB’s unrivalled Southeast Asian presence.</p><p>UOB have a strong team of experienced bankers based in Yangon to provide wholesale banking services to international and regional companies looking to invest and to expand in Myanmar. UOB services include lending, cash management, treasury and trade finance. UOB also work closely with the Central Bank of Myanmar and local banks to help develop financial solutions for businesses.</p>""",https://sapphire.envisageworldwide.com/organizations/united-overseas-bank-limited-yangon-branch,dda91a3847def2d0b96c87fa4cdd2605
3803,o-36145b4757,102544617,United Overseas Insurance Limited (Myanmar Representative Offices),Company,2018-08-30,"""<p>Founded in 1971, United Overseas Insurance Limited (“UOI”) very quickly made its mark in the business community and, in just seven years, UOI was listed on the Singapore Exchange. UOI’s profitable growth over the years reflects its financial strength and prudence.</p><p>The Group’s principal activities are the underwriting of general insurance business and reinsurance. General insurance covers a broad spectrum of classes of insurance, among which are fire, marine, motor, engineering, general accident and liability business.</p><p>The Management of the Group is located at 3 Anson Road, #28-01 Springleaf Tower, Singapore 079909, and its Singapore and international operations are supported by prominent insurance brokers, agents and international reinsurance companies. UOI has a representative office in Yangon, Myanmar. Through its wholly-owned subsidiary, UOB Insurance (H.K.) Limited, the Group provides a complete range of general insurance services in Hong Kong. UOI provides management services for Union (2009) Limited (formerly known as Overseas Union Insurance, Limited). </p>""",https://sapphire.envisageworldwide.com/organizations/united-overseas-insurance-limited,7c2ae97eb027d16f8198625115fb7c7d
3804,o-ffbf5820c4,,Zimbabwe Youth Council,Government agency,,"""<p>Zimbabwe Youth Council is a corporate body, established by an Act of Parliament, the Zimbabwe Youth Council Act Chapter 25:19, as amended in 1997. ZYC is the vehicle of linkage between government through the Ministry responsible for Youth in Zimbabwe. In terms of this Act, one of the institution’s key mandates is to advise Government on the needs of youth.</p><p><strong>Mission Statement</strong></p> <p>In Pursuit of Youth Empowerment and Participation </p><strong>Functions </strong><ul><li>To co-ordinate, supervise and foster the activities of youth clubs, associations or organizations from grassroots to national level.</li><li>To facilitate youth participation in key national and international events.</li><li>To be the interface between the Government and the youth.</li><li>To manage the children’s parliament programme as a leadership development and advocacy arm on children’s rights.</li></ul><strong>Key Programs </strong><ul><li>Coordination and Supervision of National Youth Associations and Provincial Youth Councils</li><li>Youth Participation/ Children’s Parliament</li><li>Youth Economic Empowerment</li><li>Policy Research &amp; Advocacy</li><li>Resource Mobilization &amp; Management</li></ul><strong>Registration</strong><p>Youth Association Registration requirements</p> <ul><li>Submit organizational profile stating the following:</li></ul> <ol><li>Name and address of the organization.</li><li>Name and address of its officers and the members of the executive committee or other bodies in control of its affairs.</li><li>Name and address of a person authorized to accept service of any proceedings, notices, or other things on its behalf.</li></ol> <ul><li>Submit a copy of its Constitution and rules.</li><li>Submit a recommendation from any established organisation</li><li>Pay a registration fee of US$10.00 to the ZYC POSB account number: 500001997575 .</li></ul> <p>N.B: <strong>The Registered Youth Associations should submit the following</strong>: </p> <ul><li>Quarterly Reports on activities</li><li>Yearly Financial Statements</li><li>Minutes of Annual General Meetings</li><li>Calendar of activities and plan.</li></ul>""",https://sapphire.envisageworldwide.com/organizations/zimbabwe-youth-council,b4356bdaadc17a5c0931363ee26a9022
3805,o-8423895c13,,Zimbabwe Christian Alliance,Local NGO,2005-01-01,"""<p>Zimbabwe Christian Alliance (ZCA) was formed in 2005 as an advocacy Christian organisation focused on addressing social, political, economic and humanitarian issues affecting the poor and vulnerable communities, mainly in rural areas. </p>The organisation has achieved a lot since its formation with wide reach and impact across the country. Such major achievements were in areas of church mobilisation and coordination to respond to the humanitarian needs of communities, mobilisation of the church to meaningfully participate in the 2013 Zimbabwe constitution making process and mobilisation of the church to participate in the 2017-2018 electoral processes and for communities to demand their rights in access to service delivery and peace building. <br>ZCA realised that so much has changed in the country since its formation in 2005 and therefore engaged in strategic planning process which culminated in a revision of the ZCA Vision and Mission and the articulation of a new strategic direction for the next 5 years. The Strategic goal is “TO CONTRIBUTE TO EMPOWERED AND PROSPEROUS COMMUNITIES, LIVING IN PEACE &amp; HARMONY.”A transformed, God fearing and prosperous nation in which all Zimbabweans belong and share freely the natural resources.""",https://sapphire.envisageworldwide.com/organizations/zimbabwe-christian-alliance,81cc58a5a55f5fd3be4ff4e38e65ad4d
3806,o-51d8ab3058,,Shan State Refugee Committee–Thai Border,Local NGO,,"""<p><strong>The Shan State Refugee Committee (Thai Border) </strong>is a community-based organization formed by the committees of five IDP camps, one refugee camp and one refugee/migrant transit center on the Shan-Thai border and by Shan civil society organizations. </p><p>The SSRC has been the main food aid provider to the displaced populations along the southern Shan State-Thai border since October 2017.</p><p><strong>Vision</strong>: The rights and dignity of displaced communities from conflict-affected areas of Shan State, Burma, are fully protected.</p><p><strong>Mission</strong>: To address the humanitarian and protection needs of the displaced communities from conflict-affected areas of Shan State, Burma, through a participatory, community approach.</p><p><strong>Objectives</strong>: To advocate for and provide food aid to the populations of 5 IDP camps and 1 refugee camp along the southern Shan State-Thai border; to promote development of sustainable livelihoods for the camp populations; to build capacity and strengthen the governance of the camp committees; to monitor and document the security situation in and around the camps, and in the rest of Shan State, and provide public updates.</p><p>The Shan State Refugee Committee-Thai Border (SSRC) has been raising funds through grants and public donations to provide food aid, mainly rice and soya beans, to over 7,000 IDPs/refugees in six camps along the southern Shan State-Thai border.</p><p><strong>Regarding camp management and development:</strong> The SSRC’s Camp Committee Representatives have been overseeing daily operations, livelihood development and overall well-being and security in each camp. SSRC provides annual workshops and trainings (based on the needs of the camp committee members and the emerging situation), to camp representatives in order to strengthen and enhance their capacity in managing the camps and protecting and promoting the rights of their communities.<br></p><p>Besides, the SSRC-TB, together with the SHRF, also actively lobby for the protection of the vulnerable over 6,000 displaced villagers in camps along the Shan State-Thai border, exposing security threats from the Myanmar Army and United Wa State Army (UWSA). Responding, for example, when the Myanmar Army on February 2019 fired six 120 mm shells at two IDP locations.</p><p>In connection to it, the SHRF and SSRC-TB have called on foreign donor governments: “To pressure the Burma Army to stop militarization and attacks in all ethnic areas of Burma, so that a new inclusive peace process can begin; and to urgently resume food aid to IDPs and refugees in camps along the Shan-Thai border until they can return voluntarily, in safety and dignity to their homes in Shan State.”</p><p>Similarly, in April 2021, Loi Kaw Wan IDP camp which is located in southern Shan State-Thai border opposite Chiang Rai province, with about 2,500 IDPs was repeatedly fired upon with 120 mm shells by the Burma Army.</p><p>In response to this incident, the SSRC-TB reiterated its urgent appeal to the Thai government to allow these IDPs to cross over into Thailand as soon as attacks start, and to provide them safe refuge, shelter and access to humanitarian aid.</p>""",https://sapphire.envisageworldwide.com/organizations/shan-state-refugee-committee-thai-border,4d6e77538565e50f8a9eccc3a601ed24
3807,o-cb15f9db5b,,Bindura University of Science Education,Government agency,1996-03-26,"""<p>In 1995, the Government made a decision to address the problem of the shortage of science teachers locally by setting up a University of Science Education. The Bindura University College of Science Education was established under the University of Zimbabwe. Arrangements were made for it to be housed at the Provincial Public Service Training Centre in Bindura.</p><p>The College finally opened on 26 March 1996 with an intake of 125 students. Among the lecturing staff, were five lecturers from Cuba. This development coincided with and was partly, a consequence of the termination of the Zimbabwe-Cuba Science Teacher Training programme which had begun operating in the mid-1980s. The University Council then set up a Planning Committee, which was charged with the responsibility of transforming the College into a University within a period of less than five years</p><p>Government gazetted the Bindura University of Science Education Act in February 2000, conferring University status to the College. A University Council with Professor C J Chetsanga as its Chairman was appointed. Professor C E M Chikombah, who had been the College’s substantive Pro-Vice Chancellor since 1997 became the Acting Vice Chancellor.</p><p>Since its inception, the University is operating from the Public Service Training Centre, on a temporary basis, pending the construction of the Main Campus. This is being built on a 159 hectare plot about two kilometres from the town centre along the Bindura – Mount Darwin Road</p> <p><strong>Vision</strong></p>An internationally renowned university producing transformative and innovative graduates. <p><strong>Mission</strong><br>To produce responsible, knowledgeable, skilled, innovative and entrepreneurial graduates through teaching, research innovation; and develop products and services for industrialisation and community transformation.</p><p><strong>Core Values</strong></p><ul><li>Integrity</li><li>Student Centredness</li><li>Teamwork</li><li>Commitment</li><li>Diversity</li><li>Innovativeness</li></ul>""",https://sapphire.envisageworldwide.com/organizations/bindura-university-of-science-education,1d81fa86c70be4b3447479d9fe0ca244
3808,o-efd3f44d3f,,Women and Law in Southern Africa,Local NGO,1989-01-01,"""<p>  <p>Women and Law in Southern African Research and Education Trust (WLSA) Zimbabwe started as a local Chapter of a sub-regional network in 1989. WLSA is now registered and operates as Private Voluntary Organisation (PVO) in Zimbabwe. The network member countries include Botswana, Lesotho, Malawi, Mozambique, Swaziland and Zambia. The purpose of the network is to contribute to sustained well-being of women and girl children through action-oriented research in the socio-legal field and advocating for women’s rights. WLSA work incorporates action into research by questioning and challenging the law, instigating campaigns for changes in laws, policies and plans of action, educating women and girls about their rights, providing legal advice and gender sensitizing communities and leadership.</p>     <p>The work of WLSA Zimbabwe has been guided by strategic plans with the current plan being for the period 2019 – 2023. The strategic plans are elaborated in programme documents and/or operational plans by detailing WLSA activities on yearly basis. With the current strategic plan drawing to end a new strategy, “<strong><em>Making the law work for women and girls</em></strong>” has been developed and is accompanied by a detailed programme document.</p>  </p>""",https://sapphire.envisageworldwide.com/organizations/women-and-law-in-southern-africa,892556ef0bc13ed1184c2e0ca9722adf
3809,o-eafc8dc9bf,,Women's Action Group,Local NGO,1983-01-01,"""<p>Women's Action Group (WAG) was founded in 1983. The organisation was formed following the arrest and incarceration of over 6 000 women who were found walking alone at night under Operation Clean up. </p><p> It was the arbitrary arrest and denial of freedom for the women of Zimbabwe that saw a group of ordinary women taking up the fight against injustice. Since then, WAG never looked back on advocating for women's rights. The organisation was registered as an Educational Trust in 1987 and has gained consultative status with the United Nations' Economic and Consultative Social Council (ECOSOC). </p><p><strong>Under this strategic pillar, WAG seeks to promote and protect the rights of women and girls during emergencies and post emergencies where women and girls become more vulnerable to SRI-IR and GBV challenges.</strong></p><h4 class=\""card-title\"">Domestic Violence Act</h4><p class=\""card-text\"">Contributed to the enactment of the Domestic Violence Act.</p><h4 class=\""card-title\"">National Gender Policy</h4><p class=\""card-text\"">Input to the process of the development of the National Gender Policy.</p><h4 class=\""card-title\"">Criminal Law (Codification and Reform) Act</h4><p class=\""card-text\"">Contribution to the Sexual Offences section of the Criminal Law (Codification and Reform) Act.</p><h4 class=\""card-title\"">Zimbabwe National Strategic Plan (ZNASP11)</h4><p class=\""card-text\"">Contributed to the Development of the Zimbabwe National Strategic Plan (ZNASP11).</p><h4 class=\""card-title\"">HIV Prevention &amp; Reduction of Gender Based Violence</h4><p class=\""card-text\"">Engaging traditional leaders in HIV prevention and reduction of gender based violence</p><h4 class=\""card-title\"">Health Transition Fund</h4><p class=\""card-text\"">Contribution to the establishment of the Health Transition Fund</p><h4 class=\""card-title\"">SAFE ENGAGE</h4><p class=\""card-text\"">Developed a SAFE ENGAGE tool as an advocacy for influencing policy on SRHR and access to safe abortion services</p><h4 class=\""card-title\"">District COVID-19 Response Team</h4><p class=\""card-text\"">Women’s Action Group was incorporated in district COVID-19 response team in Chipinge, and Buhera.</p><h4 class=\""card-title\"">Women’s C</h4><p class=\""card-text\"">Women’s Action Group is part of the Women’s C.</p><h4 class=\""card-title\"">Country Coordinating Mechanism (CCM)</h4><p class=\""card-text\"">Women’s Action Group sits in the Country Coordinating Mechanism (CCM), the highest decision making authority on Global Fund processes at country level.</p><h4 class=\""card-title\"">National Task Force to Review the Termination of Pregnancy Act</h4><p class=\""card-text\"">Women’s Action Group together with Katswe sisterhood, SRHR Africa Trust and Right Here Right Now set up a National task force to review the Termination of Pregnancy Act and have since developed a Dummy Act for sharing with Ministry of Health and Child Care.</p>""",https://sapphire.envisageworldwide.com/organizations/women-s-action-group,a7a176d129193dc5bd00295d4f544eed
